it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
367;0.0957;0.9043;0.0319;0.0319;0.0319
368;0.0950;0.9050;0.0317;0.0317;0.0317
369;0.0943;0.9057;0.0314;0.0314;0.0314
370;0.0936;0.9064;0.0312;0.0312;0.0312
371;0.0929;0.9071;0.0310;0.0310;0.0310
372;0.0923;0.9077;0.0308;0.0308;0.0308
373;0.0916;0.9084;0.0305;0.0305;0.0305
374;0.0909;0.9091;0.0303;0.0303;0.0303
375;0.0903;0.9097;0.0301;0.0301;0.0301
376;0.0896;0.9104;0.0299;0.0299;0.0299
377;0.0890;0.9110;0.0297;0.0297;0.0297
378;0.0883;0.9117;0.0294;0.0294;0.0294
379;0.0877;0.9123;0.0292;0.0292;0.0292
380;0.0870;0.9130;0.0290;0.0290;0.0290
381;0.0864;0.9136;0.0288;0.0288;0.0288
382;0.0858;0.9142;0.0286;0.0286;0.0286
383;0.0852;0.9148;0.0284;0.0284;0.0284
384;0.0845;0.9155;0.0282;0.0282;0.0282
385;0.0839;0.9161;0.0280;0.0280;0.0280
386;0.0833;0.9167;0.0278;0.0278;0.0278
387;0.0827;0.9173;0.0276;0.0276;0.0276
388;0.0821;0.9179;0.0274;0.0274;0.0274
389;0.0815;0.9185;0.0272;0.0272;0.0272
390;0.0809;0.9191;0.0270;0.0270;0.0270
391;0.0803;0.9197;0.0268;0.0268;0.0268
392;0.0797;0.9203;0.0266;0.0266;0.0266
393;0.0791;0.9209;0.0264;0.0264;0.0264
394;0.0785;0.9215;0.0262;0.0262;0.0262
395;0.0780;0.9220;0.0260;0.0260;0.0260
396;0.0774;0.9226;0.0258;0.0258;0.0258
397;0.0768;0.9232;0.0256;0.0256;0.0256
398;0.0763;0.9237;0.0254;0.0254;0.0254
399;0.0757;0.9243;0.0252;0.0252;0.0252
400;0.0751;0.9249;0.0250;0.0250;0.0250
401;0.0746;0.9254;0.0249;0.0249;0.0249
402;0.0740;0.9260;0.0247;0.0247;0.0247
403;0.0735;0.9265;0.0245;0.0245;0.0245
404;0.0730;0.9270;0.0243;0.0243;0.0243
405;0.0724;0.9276;0.0241;0.0241;0.0241
406;0.0719;0.9281;0.0240;0.0240;0.0240
407;0.0714;0.9286;0.0238;0.0238;0.0238
408;0.0708;0.9292;0.0236;0.0236;0.0236
409;0.0703;0.9297;0.0234;0.0234;0.0234
410;0.0698;0.9302;0.0233;0.0233;0.0233
411;0.0693;0.9307;0.0231;0.0231;0.0231
412;0.0688;0.9312;0.0229;0.0229;0.0229
413;0.0683;0.9317;0.0228;0.0228;0.0228
414;0.0677;0.9323;0.0226;0.0226;0.0226
