Iteration;bike;car;freight;pt;ride;walk
427;116472;573651;233613;518306;162549;103658
428;116307;573701;233640;518039;162802;103754
429;115671;573391;233767;518923;163992;103598
430;116113;572711;233130;517756;163669;103834
431;115607;573656;233536;516903;165175;103729
432;116224;573632;233727;518527;163469;103145
433;116193;572998;233009;518366;164728;102957
434;116355;572703;233167;518771;164403;103083
435;115878;572555;233842;518391;164941;103004
436;115635;572479;233776;518363;164264;103090
437;115520;572485;233069;518836;164252;103428
438;115596;572723;233632;517689;164274;103162
439;116376;572103;233492;517816;164108;103411
440;116290;572312;232502;517803;164297;103315
441;117235;572864;233119;517432;163863;102916
442;116437;572311;233598;518061;164718;103054
443;115438;573137;233337;518491;164413;102949
444;116272;571128;233812;518353;164556;103141
445;116331;571219;233526;518853;163521;103561
446;116039;571513;233545;519950;163764;103236
447;116301;572259;233882;518113;165160;102706
448;116083;572597;232829;518792;162874;102975
449;116532;571839;233881;519633;162794;103177
450;116214;571381;233598;519148;163905;103880
451;115722;570626;230224;523020;162181;100007
452;115747;570817;229938;522929;161851;99994
453;115715;570881;229756;523069;161674;99993
454;115692;570540;229753;522935;161746;99966
455;115653;571065;229735;522993;161336;99970
456;115631;571109;229710;522943;161491;99964
457;115602;570723;229699;523012;161385;99953
458;115590;570843;229658;522991;161421;99958
459;115506;571140;229674;523138;161366;99982
460;115435;570874;229672;523097;161453;99989
461;115410;570505;229667;523089;161464;99971
462;115309;570970;229654;523027;161512;99962
463;115313;570616;229616;523016;161541;99977
464;115297;571043;229610;522770;161432;99977
465;115205;570968;229576;522764;161452;99982
466;115202;570849;229581;522794;161593;99982
467;115172;570897;229617;522761;161552;99963
468;115173;570862;229606;522769;161506;99982
469;115144;571001;229603;522806;161572;99986
470;115107;570880;229615;522823;161494;99975
471;115190;571287;229615;522787;161407;99954
472;115176;571417;229596;522750;161391;99950
473;115196;571238;229583;522737;161527;99952
474;115119;571039;229537;522772;161483;99951
475;115122;571371;229557;522679;161523;99929
476;115149;571016;229546;522655;161691;99922
477;115082;571011;229544;522668;161624;99925
478;115078;571202;229528;522609;161653;99921
479;115031;570684;229515;522575;161700;99909
480;115041;571037;229499;522502;161776;99927
481;115014;571229;229512;522489;161671;99913
482;115089;571356;229517;522279;161634;99913
483;115100;571150;229495;522252;161720;99914
484;115069;571081;229525;522216;161808;99916
485;115058;571020;229520;522164;161852;99898
486;115044;571328;229508;522247;161741;99917
487;115035;571691;229800;522290;161580;99916
488;115038;571410;229745;522327;161546;99939
489;115052;571431;229731;522289;161558;99932
490;115050;571513;229717;522223;161567;99932
491;115067;571323;229725;522098;161664;99916
492;115031;571195;229722;522152;161563;99935
493;114997;571665;229718;522170;161508;99927
494;114979;571443;229715;522159;161547;99922
495;114962;571423;229685;522242;161424;99934
496;114901;571476;229678;522149;161502;99934
497;114880;571391;229689;522125;161523;99930
498;114827;571391;229687;521963;161694;99906
499;114786;571333;229683;521946;161739;99924
500;114851;571288;229673;521878;161761;99902
